Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,35.6,63,11
2020-02,38.2,72,15
2020-03,50.4,82,27
2020-04,54.9,91,31
2020-05,64,90,36
2020-06,77.1,92,56
2020-07,81.1,96,67
2020-08,75.8,95,55
2020-09,69,91,46
2020-10,54.6,88,29
2020-11,50.3,79,22
2020-12,37.3,71,10
2021-01,36.1,55,18
2021-02,25.9,71,-7
2021-03,51.9,77,28
2021-04,55.5,86,27
2021-05,66.3,87,39
2021-06,77.9,98,53
2021-07,78.9,97,65
2021-08,79.7,99,59
2021-09,73.4,92,48
2021-10,62.1,89,38
2021-11,47.1,80,19
2021-12,46.8,78,20
2022-01,30.4,62,1
2022-02,34.8,74,2
2022-03,48,83,11
2022-04,55.4,87,27
2022-05,68,95,43
2022-06,78.4,101,52
2022-07,81.9,104,65
2022-08,78.5,99,57
2022-09,70.2,97,39
2022-10,57.2,87,26
2022-11,46.4,85,16
2022-12,36.4,75,-4
